Asian Box,855 El Camino Real,Palo Alto,CA,vietnamese,http://www.yelp.com/biz/asian-box-palo-alto
The Kathi Roll Company,99 MacDougal St,New York,NY,indian,http://www.yelp.com/biz/the-kati-roll-company-new-york
Noodles and Company,2602 Baseline Rd,Boulder,CO,fusion,http://www.yelp.com/biz/noodles-and-company-boulder
The Garlic Knot,10143 W Chatfield Ave,Littleton,CO,pizza,http://www.yelp.com/biz/the-garlic-knot-littleton
Saravanaa Bhavan,1305 S Mary Ave,Sunnyvale,CA,indian,http://www.yelp.com/biz/saravanaa-bhavan-sunnyvale-2
Taqueria Cancun,2288 Mission St,San Francisco,CA,mexican,http://www.yelp.com/biz/taqueria-canc%C3%BAn-san-francisco-5
Araya's Place,2808 E Madison St,Seattle,WA,thai,http://www.yelp.com/biz/arayas-place-seattle-3
Thai Idea,1457 Beach Park Blvd,Foster City,CA,thai,http://www.yelp.com/biz/thai-idea-foster-city
Curry Up Now,321 Hamilton Ave,Palo Alto,CA,indian,http://www.yelp.com/biz/curry-up-now-palo-alto-3
Terun,448 S California Ave,Palo Alto,CA,italian,http://www.yelp.com/biz/ter%C3%BAn-palo-alto-3
